nationality,host_2,host,run_factor,wkt_factor,all_away_runs_factor,all_away_wkts_factor
Australia,Australia,Sri Lanka,1.024628577131204,0.9777511670005925,1.0124877257747285,1.0031865927416075
Australia,Australia,United Arab Emirates,1.026852664904846,0.9868835398828618,1.0124877257747285,1.0031865927416075
Australia,Australia,United States of America,1.0171958443916933,1.0556065532151757,1.0124877257747285,1.0031865927416075
Australia,Australia,West Indies,1.0218141594293757,1.0596513168805228,1.0124877257747285,1.0031865927416075
Australia,Australia,Zimbabwe,1.0367619018402154,1.012117126843802,1.0124877257747285,1.0031865927416075
Bangladesh,Bangladesh,Australia,1.0032003428442704,0.9858501457936144,1.0124877257747285,1.0031865927416075
Bangladesh,Bangladesh,Bangladesh,1.0,1.0,1.0124877257747285,1.0031865927416075
Bangladesh,Bangladesh,China,1.008799450320676,0.9949273759226005,1.0124877257747285,1.0031865927416075
Bangladesh,Bangladesh,England,1.008341399348424,0.9542634896319362,1.0124877257747285,1.0031865927416075
Bangladesh,Bangladesh,India,0.992616319124841,0.9972379962908791,1.0124877257747285,1.0031865927416075
Bangladesh,Bangladesh,New Zealand,1.0191788193527058,0.9653515923919078,1.0124877257747285,1.0031865927416075
Bangladesh,Bangladesh,Oman,0.9961390857973029,1.0059051316088796,1.0124877257747285,1.0031865927416075
Bangladesh,Bangladesh,Pakistan,0.9980143168203008,1.0086348339268776,1.0124877257747285,1.0031865927416075
Bangladesh,Bangladesh,South Africa,1.03161733395139,1.002228038265805,1.0124877257747285,1.0031865927416075
Bangladesh,Bangladesh,Sri Lanka,0.9836297562680953,1.0094464773990528,1.0124877257747285,1.0031865927416075
Bangladesh,Bangladesh,United Arab Emirates,0.999502605942864,1.0153850935747482,1.0124877257747285,1.0031865927416075
Bangladesh,Bangladesh,United States of America,1.0111824033399504,0.9780896210684675,1.0124877257747285,1.0031865927416075
Bangladesh,Bangladesh,West Indies,1.0029819893089074,1.0177028035459579,1.0124877257747285,1.0031865927416075
Bangladesh,Bangladesh,Zimbabwe,1.0432004774897754,0.9989610810808132,1.0124877257747285,1.0031865927416075
England,England,Australia,1.0080072272568312,1.0049512438285784,1.0124877257747285,1.0031865927416075
England,England,Bangladesh,1.0157986413835707,1.0148648190349223,1.0124877257747285,1.0031865927416075
England,England,England,1.0,1.0,1.0124877257747285,1.0031865927416075
England,England,Guyana,1.0146114024126358,1.0097887978531548,1.0124877257747285,1.0031865927416075
England,England,India,1.017547620282084,1.032178576767397,1.0124877257747285,1.0031865927416075
England,England,Ireland,1.014500053810886,1.0211761496668508,1.0124877257747285,1.0031865927416075
England,England,New Zealand,1.020820593229831,1.0250636624275145,1.0124877257747285,1.0031865927416075
England,England,Pakistan,1.0193941980094308,1.0300349338153691,1.0124877257747285,1.0031865927416075
England,England,South Africa,1.024311871009785,0.970739455838192,1.0124877257747285,1.0031865927416075
England,England,Sri Lanka,1.0121830624132186,1.0405110555939445,1.0124877257747285,1.0031865927416075
England,England,United Arab Emirates,1.0166534402608955,1.0614228861970532,1.0124877257747285,1.0031865927416075
England,England,West Indies,1.0203164145361445,1.0169765283574994,1.0124877257747285,1.0031865927416075
India,India,Australia,1.0029996138775084,1.0267428844379574,1.0124877257747285,1.0031865927416075
India,India,Bangladesh,0.9954304113265381,1.0657245638957684,1.0124877257747285,1.0031865927416075
India,India,China,1.0111510845181457,1.0403326470200998,1.0124877257747285,1.0031865927416075
India,India,England,1.0101325007980002,0.9944137340172637,1.0124877257747285,1.0031865927416075
India,India,India,1.0,1.0,1.0124877257747285,1.0031865927416075
India,India,Ireland,1.0170070561181315,1.0182088923175932,1.0124877257747285,1.0031865927416075
India,India,New Zealand,1.0196432333886587,1.0158212699103706,1.0124877257747285,1.0031865927416075
India,India,South Africa,1.0381756666206756,1.0366022345003303,1.0124877257747285,1.0031865927416075
India,India,Sri Lanka,0.9862747304385553,1.0718050909626682,1.0124877257747285,1.0031865927416075
India,India,United Arab Emirates,0.9997907452667824,1.0598291601533154,1.0124877257747285,1.0031865927416075
India,India,United States of America,1.015629947822837,1.0329545621373921,1.0124877257747285,1.0031865927416075
India,India,West Indies,1.007885064022074,1.0380292043360217,1.0124877257747285,1.0031865927416075
India,India,Zimbabwe,1.044429219107203,1.0248025451386487,1.0124877257747285,1.0031865927416075
Ireland,Ireland,Australia,1.004382274399941,1.0098342397446165,1.0124877257747285,1.0031865927416075
Ireland,Ireland,Bangladesh,1.0108697714206825,1.011918824230967,1.0124877257747285,1.0031865927416075
Ireland,Ireland,England,1.009019021650705,1.03272812612192,1.0124877257747285,1.0031865927416075
Ireland,Ireland,India,1.0137213369187545,1.0210921544924016,1.0124877257747285,1.0031865927416075
Ireland,Ireland,Ireland,1.0,1.0,1.0124877257747285,1.0031865927416075
Ireland,Ireland,Netherlands,1.0100816217053719,1.047472620724261,1.0124877257747285,1.0031865927416075
Ireland,Ireland,Oman,1.0097133273798629,1.0215713379728524,1.0124877257747285,1.0031865927416075
Ireland,Ireland,Scotland,1.013398236833498,1.0275175069906857,1.0124877257747285,1.0031865927416075
Ireland,Ireland,United Arab Emirates,1.0142531492342937,1.0354402318301241,1.0124877257747285,1.0031865927416075
Ireland,Ireland,United States of America,1.015522553517599,1.0084484160382543,1.0124877257747285,1.0031865927416075
Ireland,Ireland,Zimbabwe,1.023103003929635,1.0059763889154503,1.0124877257747285,1.0031865927416075
Namibia,Namibia,Namibia,1.0,1.0,1.0124877257747285,1.0031865927416075
Namibia,Namibia,Nepal,1.0182191960169087,1.0049833322917618,1.0124877257747285,1.0031865927416075
Namibia,Namibia,United Arab Emirates,1.0151595206930513,1.0120238109277722,1.0124877257747285,1.0031865927416075
Namibia,Namibia,West Indies,1.0142171478938447,1.0170985881927919,1.0124877257747285,1.0031865927416075
Nepal,Nepal,Australia,0.9988467694584959,0.9865435781495605,1.0124877257747285,1.0031865927416075
Nepal,Nepal,Nepal,1.0,1.0,1.0124877257747285,1.0031865927416075
Nepal,Nepal,United States of America,1.0105412483317644,0.9939783233548998,1.0124877257747285,1.0031865927416075
Nepal,Nepal,West Indies,1.0039265129938224,1.0165310356613426,1.0124877257747285,1.0031865927416075
Netherlands,Netherlands,Australia,1.0057561865264146,0.9927638932513354,1.0124877257747285,1.0031865927416075
Netherlands,Netherlands,England,1.0113626255986532,0.9750556684352953,1.0124877257747285,1.0031865927416075
Netherlands,Netherlands,Ireland,1.0120319347173687,0.9921248400282965,1.0124877257747285,1.0031865927416075
Netherlands,Netherlands,Nepal,1.014430933887048,0.9909101375188488,1.0124877257747285,1.0031865927416075
Netherlands,Netherlands,Netherlands,1.0,1.0,1.0124877257747285,1.0031865927416075
Netherlands,Netherlands,Oman,1.0088614304202346,0.9885033186288806,1.0124877257747285,1.0031865927416075
Netherlands,Netherlands,South Africa,1.0162157617352963,0.9910769502668857,1.0124877257747285,1.0031865927416075
Netherlands,Netherlands,United Arab Emirates,1.0091394254151673,1.0000248373579348,1.0124877257747285,1.0031865927416075
Netherlands,Netherlands,West Indies,1.0109093443692683,1.0118425919644194,1.0124877257747285,1.0031865927416075
Netherlands,Netherlands,Zimbabwe,1.0248345349374823,0.9950134793185768,1.0124877257747285,1.0031865927416075
New Zealand,New Zealand,Australia,1.0026330532352064,1.0246072263546193,1.0124877257747285,1.0031865927416075
New Zealand,New Zealand,Bangladesh,0.9991901775853612,1.0386719804577633,1.0124877257747285,1.0031865927416075
New Zealand,New Zealand,England,1.0113806522659876,1.0097782654662844,1.0124877257747285,1.0031865927416075
