ord,totalInningWickets,inningBallsRemaining,predictedBallsFacedToCome,R19,inningNumber,fxbRunsAdjustRatio,fxbWktsAdjustRatio
1.0,5.0,1.0,1.783362545722691,8,1,1.0,1.0
1.0,5.0,1.0,1.783362545722691,8,2,1.0,1.0
1.0,5.0,1.0,1.783362545722691,9,1,1.0,1.0
1.0,5.0,1.0,1.783362545722691,9,2,1.0,1.0
1.0,5.0,1.0,1.783362545722691,10,1,1.0,1.0
1.0,5.0,1.0,1.783362545722691,10,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,0,1,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,0,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,1,1,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,1,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,2,1,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,2,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,3,1,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,3,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,4,1,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,4,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,5,1,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,5,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,6,1,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,6,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,7,1,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,7,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,8,1,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,8,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,9,1,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,9,2,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,10,1,1.0,1.0
1.0,6.0,1.0,1.4307777142075992,10,2,1.0,1.0
1.0,7.0,1.0,1.13391696627483,0,1,1.0,1.0
1.0,7.0,1.0,1.13391696627483,0,2,1.0,1.0
1.0,7.0,1.0,1.13391696627483,1,1,1.0,1.0
1.0,7.0,1.0,1.13391696627483,1,2,1.0,1.0
1.0,7.0,1.0,1.13391696627483,2,1,1.0,1.0
1.0,7.0,1.0,1.13391696627483,2,2,1.0,1.0
1.0,7.0,1.0,1.13391696627483,3,1,1.0,1.0
1.0,7.0,1.0,1.13391696627483,3,2,1.0,1.0
1.0,7.0,1.0,1.13391696627483,4,1,1.0,1.0
1.0,7.0,1.0,1.13391696627483,4,2,1.0,1.0
1.0,7.0,1.0,1.13391696627483,5,1,1.0,1.0
1.0,7.0,1.0,1.13391696627483,5,2,1.0,1.0
1.0,7.0,1.0,1.13391696627483,6,1,1.0,1.0
1.0,7.0,1.0,1.13391696627483,6,2,1.0,1.0
1.0,7.0,1.0,1.13391696627483,7,1,1.0,1.0
1.0,7.0,1.0,1.13391696627483,7,2,1.0,1.0
1.0,7.0,1.0,1.13391696627483,8,1,1.0,1.0
1.0,7.0,1.0,1.13391696627483,8,2,1.0,1.0
1.0,7.0,1.0,1.13391696627483,9,1,1.0,1.0
1.0,7.0,1.0,1.13391696627483,9,2,1.0,1.0
1.0,7.0,1.0,1.13391696627483,10,1,1.0,1.0
1.0,7.0,1.0,1.13391696627483,10,2,1.0,1.0
