balls_bowled_career,runs_weight_curve,wkts_weight_curve
3165,0.90434134,0.896881616
3166,0.904412249,0.896955609
3167,0.904483104,0.897029549
3168,0.904553907,0.897103436
3169,0.904624658,0.89717727
3170,0.904695356,0.897251051
3171,0.904766002,0.897324779
3172,0.904836596,0.897398454
3173,0.904907137,0.897472076
3174,0.904977626,0.897545646
3175,0.905048062,0.897619162
3176,0.905118447,0.897692626
3177,0.905188779,0.897766038
3178,0.905259059,0.897839396
3179,0.905329287,0.897912702
3180,0.905399463,0.897985955
3181,0.905469587,0.898059156
3182,0.905539659,0.898132304
3183,0.905609679,0.8982054
3184,0.905679647,0.898278443
3185,0.905749563,0.898351434
3186,0.905819428,0.898424372
3187,0.90588924,0.898497258
3188,0.905959001,0.898570092
3189,0.90602871,0.898642874
3190,0.906098368,0.898715603
3191,0.906167974,0.89878828
3192,0.906237528,0.898860905
3193,0.906307031,0.898933478
3194,0.906376482,0.899005999
3195,0.906445882,0.899078468
3196,0.90651523,0.899150885
3197,0.906584527,0.899223249
3198,0.906653772,0.899295562
3199,0.906722966,0.899367823
3200,0.906792109,0.899440032
3201,0.906861201,0.89951219
3202,0.906930241,0.899584295
3203,0.90699923,0.899656349
3204,0.907068168,0.899728351
3205,0.907137055,0.899800302
3206,0.907205891,0.899872201
3207,0.907274676,0.899944048
3208,0.90734341,0.900015843
3209,0.907412093,0.900087588
3210,0.907480725,0.90015928
3211,0.907549306,0.900230922
3212,0.907617837,0.900302511
3213,0.907686316,0.90037405
3214,0.907754745,0.900445537
3215,0.907823123,0.900516973
3216,0.90789145,0.900588357
3217,0.907959727,0.900659691
3218,0.908027953,0.900730973
3219,0.908096129,0.900802204
3220,0.908164254,0.900873384
3221,0.908232328,0.900944513
3222,0.908300352,0.90101559
3223,0.908368326,0.901086617
3224,0.908436249,0.901157593
3225,0.908504122,0.901228518
3226,0.908571944,0.901299392
3227,0.908639717,0.901370215
3228,0.908707439,0.901440987
3229,0.908775111,0.901511709
3230,0.908842732,0.90158238
3231,0.908910304,0.901653
3232,0.908977825,0.901723569
3233,0.909045297,0.901794088
3234,0.909112718,0.901864556
3235,0.90918009,0.901934974
3236,0.909247411,0.902005341
3237,0.909314683,0.902075657
3238,0.909381904,0.902145923
3239,0.909449076,0.902216139
3240,0.909516198,0.902286304
3241,0.909583271,0.902356419
3242,0.909650293,0.902426484
3243,0.909717266,0.902496498
3244,0.90978419,0.902566463
3245,0.909851063,0.902636377
3246,0.909917887,0.90270624
3247,0.909984662,0.902776054
3248,0.910051387,0.902845818
3249,0.910118063,0.902915531
3250,0.910184689,0.902985195
3251,0.910251266,0.903054808
3252,0.910317793,0.903124372
3253,0.910384271,0.903193885
3254,0.9104507,0.903263349
3255,0.91051708,0.903332763
3256,0.91058341,0.903402127
3257,0.910649691,0.903471441
3258,0.910715924,0.903540706
3259,0.910782107,0.903609921
3260,0.910848241,0.903679086
3261,0.910914326,0.903748201
3262,0.910980362,0.903817267
3263,0.911046349,0.903886284
3264,0.911112287,0.903955251
3265,0.911178176,0.904024168
3266,0.911244016,0.904093036
3267,0.911309808,0.904161855
3268,0.911375551,0.904230624
3269,0.911441245,0.904299344
3270,0.91150689,0.904368014
3271,0.911572487,0.904436635
3272,0.911638035,0.904505207
3273,0.911703534,0.90457373
3274,0.911768985,0.904642204
3275,0.911834388,0.904710628
3276,0.911899742,0.904779004
3277,0.911965047,0.90484733
3278,0.912030304,0.904915607
3279,0.912095513,0.904983836
3280,0.912160673,0.905052015
3281,0.912225786,0.905120145
3282,0.912290849,0.905188227
3283,0.912355865,0.90525626
3284,0.912420832,0.905324243
3285,0.912485752,0.905392179
3286,0.912550623,0.905460065
3287,0.912615446,0.905527903
3288,0.912680221,0.905595691
3289,0.912744948,0.905663432
3290,0.912809627,0.905731123
3291,0.912874258,0.905798767
3292,0.912938841,0.905866361
3293,0.913003376,0.905933907
3294,0.913067864,0.906001405
3295,0.913132303,0.906068854
3296,0.913196695,0.906136255
3297,0.913261039,0.906203607
3298,0.913325336,0.906270911
3299,0.913389584,0.906338167
3300,0.913453785,0.906405375
3301,0.913517939,0.906472534
3302,0.913582045,0.906539645
3303,0.913646104,0.906606708
3304,0.913710115,0.906673723
3305,0.913774078,0.90674069
3306,0.913837994,0.906807608
3307,0.913901863,0.906874479
3308,0.913965684,0.906941302
3309,0.914029458,0.907008077
3310,0.914093185,0.907074803
3311,0.914156865,0.907141482
3312,0.914220497,0.907208114
3313,0.914284082,0.907274697
3314,0.914347621,0.907341232
3315,0.914411112,0.90740772
3316,0.914474555,0.90747416
3317,0.914537952,0.907540553
3318,0.914601302,0.907606897
3319,0.914664605,0.907673195
3320,0.914727861,0.907739444
3321,0.91479107,0.907805646
3322,0.914854233,0.907871801
3323,0.914917348,0.907937908
3324,0.914980417,0.908003967
3325,0.915043439,0.90806998
3326,0.915106414,0.908135945
3327,0.915169342,0.908201862
3328,0.915232224,0.908267732
3329,0.91529506,0.908333555
3330,0.915357848,0.908399331
3331,0.91542059,0.90846506
3332,0.915483286,0.908530741
3333,0.915545935,0.908596375
