balls_faced_host,run_factor_smooth,wkt_factor_smooth
337,1.004758243,0.981432047
338,1.004787447,0.981360842
339,1.004816622,0.981289793
340,1.004845769,0.981218901
341,1.004874888,0.981148165
342,1.004903979,0.981077585
343,1.004933041,0.981007162
344,1.004962075,0.980936896
345,1.004991081,0.980866786
346,1.005020058,0.980796832
347,1.005049007,0.980727034
348,1.005077928,0.980657393
349,1.005106821,0.980587909
350,1.005135685,0.98051858
351,1.005164521,0.980449408
352,1.005193329,0.980380393
353,1.005222108,0.980311534
354,1.005250859,0.980242831
355,1.005279582,0.980174285
356,1.005308276,0.980105895
357,1.005336942,0.980037662
358,1.00536558,0.979969585
359,1.005394189,0.979901664
360,1.005422771,0.9798339
361,1.005451323,0.979766292
362,1.005479848,0.979698841
363,1.005508344,0.979631545
364,1.005536812,0.979564407
365,1.005565252,0.979497425
366,1.005593663,0.979430599
367,1.005622046,0.979363929
368,1.005650401,0.979297416
369,1.005678728,0.97923106
370,1.005707026,0.979164859
371,1.005735296,0.979098815
372,1.005763537,0.979032928
373,1.005791751,0.978967197
374,1.005819936,0.978901622
375,1.005848092,0.978836204
376,1.005876221,0.978770942
377,1.005904321,0.978705837
378,1.005932393,0.978640888
379,1.005960436,0.978576095
380,1.005988451,0.978511459
381,1.006016438,0.978446979
382,1.006044397,0.978382655
383,1.006072327,0.978318488
384,1.006100229,0.978254478
385,1.006128103,0.978190623
386,1.006155948,0.978126925
387,1.006183765,0.978063384
388,1.006211554,0.977999999
389,1.006239314,0.97793677
390,1.006267046,0.977873698
391,1.00629475,0.977810782
392,1.006322426,0.977748023
393,1.006350073,0.97768542
394,1.006377692,0.977622973
395,1.006405283,0.977560683
396,1.006432845,0.977498549
397,1.006460379,0.977436571
398,1.006487885,0.97737475
399,1.006515362,0.977313086
400,1.006542811,0.977251577
401,1.006570232,0.977190225
402,1.006597625,0.97712903
403,1.006624989,0.977067991
404,1.006652325,0.977007108
405,1.006679633,0.976946382
406,1.006706912,0.976885812
407,1.006734163,0.976825398
408,1.006761386,0.976765141
409,1.00678858,0.976705041
410,1.006815746,0.976645096
411,1.006842884,0.976585309
412,1.006869994,0.976525677
413,1.006897075,0.976466202
414,1.006924128,0.976406883
415,1.006951152,0.976347721
416,1.006978149,0.976288715
417,1.007005117,0.976229866
418,1.007032056,0.976171173
419,1.007058968,0.976112636
420,1.007085851,0.976054256
421,1.007112706,0.975996032
422,1.007139532,0.975937964
423,1.00716633,0.975880053
424,1.0071931,0.975822298
425,1.007219842,0.9757647
426,1.007246555,0.975707258
427,1.00727324,0.975649973
428,1.007299897,0.975592844
429,1.007326525,0.975535871
430,1.007353125,0.975479055
431,1.007379697,0.975422395
432,1.007406241,0.975365891
433,1.007432756,0.975309544
434,1.007459243,0.975253354
435,1.007485701,0.975197319
436,1.007512132,0.975141441
437,1.007538534,0.97508572
438,1.007564907,0.975030155
439,1.007591253,0.974974746
440,1.00761757,0.974919494
441,1.007643859,0.974864398
442,1.007670119,0.974809458
443,1.007696351,0.974754675
444,1.007722555,0.974700049
445,1.007748731,0.974645578
446,1.007774878,0.974591264
447,1.007800997,0.974537107
448,1.007827088,0.974483106
449,1.00785315,0.974429261
450,1.007879184,0.974375573
451,1.00790519,0.974322041
452,1.007931168,0.974268665
453,1.007957117,0.974215446
454,1.007983038,0.974162383
455,1.00800893,0.974109477
456,1.008034794,0.974056727
457,1.00806063,0.974004134
458,1.008086438,0.973951697
459,1.008112217,0.973899416
460,1.008137968,0.973847292
461,1.008163691,0.973795324
462,1.008189386,0.973743512
463,1.008215052,0.973691857
464,1.00824069,0.973640358
465,1.008266299,0.973589016
466,1.00829188,0.97353783
467,1.008317433,0.973486801
468,1.008342958,0.973435927
469,1.008368454,0.973385211
470,1.008393922,0.97333465
471,1.008419362,0.973284247
472,1.008444774,0.973233999
473,1.008470157,0.973183908
474,1.008495512,0.973133973
475,1.008520838,0.973084195
476,1.008546136,0.973034573
477,1.008571406,0.972985107
478,1.008596648,0.972935798
479,1.008621861,0.972886646
480,1.008647046,0.972837649
481,1.008672203,0.972788809
482,1.008697332,0.972740126
483,1.008722432,0.972691599
484,1.008747504,0.972643228
485,1.008772547,0.972595014
486,1.008797562,0.972546956
487,1.008822549,0.972499054
488,1.008847508,0.972451309
489,1.008872438,0.97240372
490,1.00889734,0.972356288
491,1.008922214,0.972309012
492,1.008947059,0.972261893
493,1.008971876,0.972214929
494,1.008996665,0.972168123
495,1.009021426,0.972121472
496,1.009046158,0.972074978
497,1.009070862,0.972028641
498,1.009095538,0.97198246
499,1.009120185,0.971936435
500,1.009144804,0.971890567
501,1.009169395,0.971844855
502,1.009193957,0.971799299
503,1.009218491,0.9717539
504,1.009242997,0.971708657
505,1.009267474,0.971663571
506,1.009291924,0.971618641
507,1.009316344,0.971573867
508,1.009340737,0.97152925
509,1.009365101,0.97148479
510,1.009389437,0.971440485
511,1.009413745,0.971396337
512,1.009438024,0.971352346
513,1.009462276,0.971308511
514,1.009486498,0.971264832
515,1.009510693,0.97122131
516,1.009534859,0.971177944
517,1.009558997,0.971134734
518,1.009583106,0.971091681
519,1.009607188,0.971048784
520,1.009631241,0.971006044
521,1.009655265,0.97096346
522,1.009679262,0.970921032
523,1.00970323,0.970878761
524,1.00972717,0.970836646
525,1.009751081,0.970794688
526,1.009774964,0.970752886
527,1.009798819,0.970711241
528,1.009822646,0.970669751
529,1.009846444,0.970628419
530,1.009870214,0.970587242
531,1.009893956,0.970546222
532,1.009917669,0.970505359
533,1.009941354,0.970464652
534,1.009965011,0.970424101
535,1.009988639,0.970383707
536,1.010012239,0.970343469
537,1.010035811,0.970303387
538,1.010059355,0.970263462
539,1.01008287,0.970223693
540,1.010106357,0.970184081
541,1.010129816,0.970144625
542,1.010153246,0.970105325
543,1.010176648,0.970066182
544,1.010200022,0.970027195
545,1.010223367,0.969988365
546,1.010246684,0.969949691
547,1.010269973,0.969911173
548,1.010293234,0.969872812
549,1.010316466,0.969834608
550,1.01033967,0.969796559
551,1.010362846,0.969758667
552,1.010385993,0.969720932
553,1.010409112,0.969683352
554,1.010432203,0.96964593
555,1.010455265,0.969608663
556,1.010478299,0.969571553
