nationality,host,host_2,balls_faced_career_2,realexprbat_2,realexpwbat_2,run_factor,wkt_factor,all_away_runs_factor,all_away_wkts_factor,run_factor_2,wkt_factor_2,all_away_runs_factor_2,all_away_wkts_factor_2,run_factor_smooth,wkt_factor_smooth,run_factor_adj
Ireland,Bangladesh,England,1447,16.73578132,0.550820595,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1458,31.60149056,0.954821286,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1479,86.35041351,2.170856696,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1531,40.24176015,1.497674979,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,Ireland,1560,5.187740895,0.202827283,0.985949578,1.067711248,0.991671567,1.036671441,1,1,0.991671567,1.036671441,1.010750516,0.963838048,1.003462906
Ireland,Bangladesh,United Arab Emirates,1565,17.47238356,0.668130496,0.985949578,1.067711248,0.991671567,1.036671441,0.993414932,1.03372639,0.991671567,1.036671441,1.010750516,0.963838048,0.996855035
Ireland,Bangladesh,United Arab Emirates,1580,15.26943412,0.529311645,0.985949578,1.067711248,0.991671567,1.036671441,0.993414932,1.03372639,0.991671567,1.036671441,1.010750516,0.963838048,0.996855035
Ireland,Bangladesh,United Arab Emirates,1592,1.11537819,0.035638908,0.985949578,1.067711248,0.991671567,1.036671441,0.993414932,1.03372639,0.991671567,1.036671441,1.010750516,0.963838048,0.996855035
Ireland,Bangladesh,United Arab Emirates,1593,3.570400726,0.109499086,0.985949578,1.067711248,0.991671567,1.036671441,0.993414932,1.03372639,0.991671567,1.036671441,1.010750516,0.963838048,0.996855035
Ireland,Bangladesh,United Arab Emirates,1597,3.65713552,0.132772993,0.985949578,1.067711248,0.991671567,1.036671441,0.993414932,1.03372639,0.991671567,1.036671441,1.010750516,0.963838048,0.996855035
Ireland,Bangladesh,United Arab Emirates,1601,3.80641691,0.108123256,0.985949578,1.067711248,0.991671567,1.036671441,0.993414932,1.03372639,0.991671567,1.036671441,1.010750516,0.963838048,0.996855035
Ireland,Bangladesh,United Arab Emirates,1605,17.05726656,0.43833841,0.985949578,1.067711248,0.991671567,1.036671441,0.993414932,1.03372639,0.991671567,1.036671441,1.010750516,0.963838048,0.996855035
Ireland,Bangladesh,United Arab Emirates,1618,19.68868318,0.710397665,0.985949578,1.067711248,0.991671567,1.036671441,0.993414932,1.03372639,0.991671567,1.036671441,1.010750516,0.963838048,0.996855035
Ireland,Bangladesh,Bangladesh,1635,64.44080539,2.221428476,0.985949578,1.067711248,0.991671567,1.036671441,0.985949578,1.067711248,0.991671567,1.036671441,1.010750516,0.963838048,0.989363828
Ireland,Bangladesh,Bangladesh,1681,4.82839977,0.202395123,0.985949578,1.067711248,0.991671567,1.036671441,0.985949578,1.067711248,0.991671567,1.036671441,1.010750516,0.963838048,0.989363828
Ireland,Bangladesh,Bangladesh,1686,16.2701374,0.676536809,0.985949578,1.067711248,0.991671567,1.036671441,0.985949578,1.067711248,0.991671567,1.036671441,1.010750516,0.963838048,0.989363828
Ireland,Bangladesh,Bangladesh,1700,11.20262665,0.409462595,0.985949578,1.067711248,0.991671567,1.036671441,0.985949578,1.067711248,0.991671567,1.036671441,1.010750516,0.963838048,0.989363828
Ireland,Bangladesh,Bangladesh,1710,2.25978052,0.077516286,0.985949578,1.067711248,0.991671567,1.036671441,0.985949578,1.067711248,0.991671567,1.036671441,1.010750516,0.963838048,0.989363828
Ireland,Bangladesh,Oman,1712,66.00257356,1.880799397,0.985949578,1.067711248,0.991671567,1.036671441,0.990152015,1.043469551,0.991671567,1.036671441,1.010750516,0.963838048,0.993580818
Ireland,Bangladesh,Oman,1754,5.049807273,0.160126501,0.985949578,1.067711248,0.991671567,1.036671441,0.990152015,1.043469551,0.991671567,1.036671441,1.010750516,0.963838048,0.993580818
Ireland,Bangladesh,India,1758,33.23326497,0.870475645,0.985949578,1.067711248,0.991671567,1.036671441,0.991372018,1.078873575,0.991671567,1.036671441,1.010750516,0.963838048,0.994805047
Ireland,Bangladesh,India,1783,75.34555766,2.250863438,0.985949578,1.067711248,0.991671567,1.036671441,0.991372018,1.078873575,0.991671567,1.036671441,1.010750516,0.963838048,0.994805047
Ireland,Bangladesh,India,1833,12.08745192,0.339049877,0.985949578,1.067711248,0.991671567,1.036671441,0.991372018,1.078873575,0.991671567,1.036671441,1.010750516,0.963838048,0.994805047
Ireland,Bangladesh,Ireland,1842,1.062063759,0.040618886,0.985949578,1.067711248,0.991671567,1.036671441,1,1,0.991671567,1.036671441,1.010750516,0.963838048,1.003462906
Ireland,Bangladesh,England,1843,10.43782242,0.307709986,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1851,28.46705158,0.651322296,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1874,41.4648324,1.331025358,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1899,15.94768736,0.391035364,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1911,12.62951889,0.435620373,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1921,12.16408224,0.356722481,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1930,34.9768538,0.86324451,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1952,17.35768579,0.577318049,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1967,16.85040178,0.448787563,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1977,16.13803637,0.492507071,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,Oman,1989,27.15316437,0.782546233,0.985949578,1.067711248,0.991671567,1.036671441,0.990152015,1.043469551,0.991671567,1.036671441,1.010750516,0.963838048,0.993580818
Ireland,Bangladesh,Oman,2008,65.61563784,1.901947964,0.985949578,1.067711248,0.991671567,1.036671441,0.990152015,1.043469551,0.991671567,1.036671441,1.010750516,0.963838048,0.993580818
