ballsremaining,wickets,wkt_value_sum_smooth
26,4,6.641275240171655
25,4,6.251802241449543
24,4,5.866872966239376
23,4,5.486948052001424
22,4,5.112519921424896
21,4,4.74411324348508
20,4,4.382285394500466
19,4,4.027626919189878
18,4,3.6807619917295984
17,4,3.34234887681051
16,4,3.013080390695226
15,4,2.6936843622752136
14,4,2.3849240941279355
13,4,2.087598823573945
12,4,1.802544183734085
11,4,1.530632664586545
10,4,1.272774074024051
9,4,1.0299159989109548
8,4,0.8030442661403826
7,4,0.5931834036913823
6,4,0.40139710168601
5,4,0.2287886734465054
4,4,0.0765015165523905
3,4,0.0
2,4,0.0
1,4,0.0
96,5,53.64919697419576
95,5,52.41206392040942
94,5,51.20992273391951
93,5,50.04186577832676
92,5,48.90698760683106
91,5,47.80438542328857
90,5,46.73315954326896
89,5,45.69241385511256
88,5,44.68125628098728
87,5,43.69879923794602
86,5,42.74416009898355
85,5,41.8164616540939
84,5,40.91483257132725
83,5,40.03840785784716
82,5,39.18632932098773
81,5,38.357746029310746
80,5,37.55181477366264
79,5,36.76770052823187
78,5,36.00457691160586
77,5,35.26162664782821
76,5,34.53804202745588
75,5,33.83302536861613
74,5,33.145789478063925
73,5,32.47555811223873
72,5,31.82156643832205
71,5,31.183061495294165
70,5,30.559302654991548
69,5,29.949562083163784
68,5,29.353125200530883
67,5,28.76929114384028
66,5,28.19737322692406
65,5,27.63669940175598
64,5,27.08661271950868
63,5,26.54647179161084
62,5,26.01565125080425
61,5,25.49354221220093
60,5,24.979552734340285
59,5,24.473108280246265
58,5,23.973652178484457
57,5,23.48064608421925
56,5,22.99357044027093
55,5,22.511924938172825
54,5,22.035228979228407
53,5,21.563022135568524
52,5,21.09486461120838
51,5,20.63033770310481
50,5,20.16904426221328
49,5,19.710609154545157
48,5,19.254679722224694
47,5,18.800926244546297
46,5,18.34904239903154
45,5,17.898745722486385
44,5,17.449778072058265
43,5,17.001906086293197
42,5,16.554921646192973
41,5,16.10864233627227
40,5,15.662911905615715
39,5,15.217600728935128
38,5,14.772606267626577
37,5,14.3278535308275
36,5,13.8832955364739
35,5,13.438913772357411
34,5,12.994718657182492
33,5,12.550750001623484
32,5,12.107077469381782
31,5,11.663801038243015
30,5,11.221051461134042
29,5,10.778990727180227
28,5,10.337812522762489
27,5,9.897742692574456
26,5,9.459039700679574
25,5,9.021995091568296
24,5,8.586933951215117
23,5,8.154215368135812
22,5,7.724232894444485
21,5,7.297415006910734
20,5,6.874225568016795
19,5,6.455164287014632
18,5,6.040767180983096
17,5,5.6316070358850645
16,5,5.228293867624558
15,5,4.831475383103856
14,5,4.441837441280661
13,5,4.060104514225188
12,5,3.687040148177349
11,5,3.323447424603838
10,5,2.970169421255278
9,5,2.628089673223343
8,5,2.298132633997925
7,5,1.9812641365242063
6,5,1.678491854259846
5,5,1.3908657622320693
4,5,1.11947859809481
3,5,0.8654663231858724
2,5,0.6300085835840221
1,5,0.4143291711661092
84,6,47.8275299244605
83,6,46.70081244807509
82,6,45.609292664449015
81,6,44.55182590453288
80,6,43.5272778999314
79,6,42.53452524396072
78,6,41.57245585270531
77,6,40.639969426075325
76,6,39.73597790886363
75,6,38.859405951802856
74,6,38.009191372622674
73,6,37.18428561710682
72,6,36.38365422015035
71,6,35.60627726681654
70,6,34.8511498533943
69,6,34.11728254845511
68,6,33.40370185391018
67,6,32.70945066606768
66,6,32.03358873668981
65,6,31.37519313404979
64,6,30.73335870398928
63,6,30.107198530975253
62,6,29.49584439915726
61,6,28.89844725342457
60,6,28.314177660463155
59,6,27.742226269813013
58,6,27.18180427492516
57,6,26.632143874218848
56,6,26.09249873213865
55,6,25.562144440211565
54,6,25.04037897810424
53,6,24.52652317467997
52,6,24.019921169055976
51,6,23.519940871660413
50,6,23.025974425289576
49,6,22.537438666164988
48,6,22.053775584990543
47,6,21.574452788009676
46,6,21.09896395806244
45,6,20.62682931564263
44,6,20.157596079954978
43,6,19.69083892997223
42,6,19.226160465492285
41,6,18.76319166819534
40,6,18.301592362701022
39,6,17.841051677625515
38,6,17.381288506638658
37,6,16.922051969521114
36,6,16.463121873221528
35,6,16.00430917291357
34,6,15.545456433053172
33,6,15.086438288435517
32,6,14.627161905252365
31,6,14.167567442148982
30,6,13.707628511281444
29,6,13.247352639373617
28,6,12.78678172877438
27,6,12.32599251851478
26,6,11.86509704536506
25,6,11.404243104891869
24,6,10.943614712515364
23,6,10.48343256456638
22,6,10.023954499343484
21,6,9.565475958170172
20,6,9.108330446451978
19,6,8.652889994733602
18,6,8.199565619756042
17,6,7.748807785513729
16,6,7.301106864311661
15,6,6.85699359782253
14,6,6.417039558143829
13,6,5.981857608855043
12,6,5.552102366074684
11,6,5.1284706595175376
10,6,4.711701993551708
9,6,4.302579008255785
8,6,3.9019279404759626
7,6,3.510619084883164
6,6,3.1295672550301994
5,6,2.7597322444088714
4,6,2.40211928750712
3,6,2.057779520866124
2,6,1.7278104441374706
1,6,1.4133563811403
72,7,40.1156004470019
71,7,39.14026050204127
70,7,38.197466708712334
69,7,37.28593119516801
68,7,36.40438470127038
67,7,35.55157703964784
66,7,34.726277556752194
65,7,33.92727559391587
64,7,33.15338094840903
63,7,32.403424334496535
62,7,31.676257844495307
61,7,30.970755409831355
60,7,30.28581326209688
59,7,29.62035039410746
58,7,28.9733090209591
57,7,28.343655041085555
56,7,27.730378497315183
55,7,27.13249403792829
54,7,26.5490413777142
53,7,25.97908575902829
52,7,25.42171841284936
51,7,24.87605701983647
50,7,24.341246171386278
49,7,23.81645783069008
48,7,23.30089179379097
47,7,22.793776150641005
46,7,22.294367746158237
45,7,21.801952641283933
44,7,21.31584657403969
43,7,20.835395420584494
42,7,20.359975656272
41,7,19.888994816707463
40,7,19.421891958805112
39,7,18.958138121845025
38,7,18.497236788530422
37,7,18.038724346044788
36,7,17.582170547108934
35,7,17.127178971038155
34,7,16.673387484799406
33,7,16.220468704068384
32,7,15.768130454286672
31,7,15.31611623171886
30,7,14.86420566450968
29,7,14.41221497374116
28,7,13.95999743448976
27,7,13.507443836883429
26,7,13.0544829471588
25,7,12.601081968718344
24,7,12.147247003187417
23,7,11.693023511471472
22,7,11.238496774813145
21,7,10.783792355849398
20,7,10.329076559668628
19,7,9.874556894867844
18,7,9.420482534609793
17,7,8.967144777680016
16,7,8.514877509544062
15,7,8.064057663404586
14,7,7.615105681258504
13,7,7.168485974954076
12,7,6.724707387248059
11,7,6.284323652862865
10,7,5.847933859543678
9,7,5.416182909115539
8,7,4.989761978540543
7,7,4.569408980974941
6,7,4.1559090268262455
5,7,3.750094884810437
4,7,3.3528474430089883
3,7,2.9650961699260776
2,7,2.5878195755457094
1,7,2.222045672388795
66,8,34.825595608274014
65,8,33.84355303684633
64,8,32.89803209397117
