inningBallsRemainingOriginal,inningBallsRemaining,totalInningWickets,mean_hundred,count_hundred,mean_t20,count_t20,ratio_hundred_vs_t20,ratio_pred_constrained,mean_hundred_adj
19.0,21.0,7,17.077198873000686,12,23.834791467772213,78,0.7164819921370538,0.8732060854291354,19.556894023027944
20.0,22.0,1,33.87826891785335,8,34.58002286931096,42,0.979706376883851,0.874219593822429,38.752584770748896
20.0,22.0,2,31.33963066076142,17,34.05891140359065,114,0.9201594933376951,0.874219593822429,35.848693946257065
20.0,22.0,3,30.208571941909966,39,34.00086360306763,184,0.8884648429690029,0.874219593822429,34.55490148628025
20.0,22.0,4,26.2617728498407,42,31.91320014799868,208,0.8229125480381387,0.874219593822429,30.040247365097354
20.0,22.0,5,28.902572139451756,20,30.722695594689927,200,0.9407563880705585,0.874219593822429,33.06099788164029
20.0,22.0,6,23.889148063089632,13,27.08880411641314,161,0.8818827128885756,0.874219593822429,27.32625559058561
20.0,22.0,7,16.665470277582067,10,25.847845322432214,69,0.6447527857619465,0.874219593822429,19.063254124417565
21.0,23.0,1,36.81736075320259,7,36.29627965908571,43,1.0143563224388603,0.8752331022157226,42.06577728835495
21.0,23.0,2,32.914635421074124,18,35.35382649734352,125,0.9310063063059758,0.8752331022157226,37.60670767335935
21.0,23.0,3,31.950830296963737,40,35.36831828128441,189,0.9033743149125335,0.8752331022157226,36.50550946493872
21.0,23.0,4,26.867154785545978,42,33.36008991683831,207,0.8053681765403436,0.8752331022157226,30.697141958558955
21.0,23.0,5,30.849475741182214,20,31.61467422810826,201,0.9757960976790419,0.8752331022157226,35.24715377318831
21.0,23.0,6,24.343659266708595,15,28.397288577013658,152,0.8572529451425762,0.8752331022157226,27.81391517880285
21.0,23.0,7,17.866513991144082,9,24.505460416850074,63,0.7290829752726857,0.8752331022157226,20.41343494197554
22.0,25.0,1,37.390618974879864,8,39.03084947091471,51,0.9579760492464525,0.8772601190023098,42.62204352501907
22.0,25.0,2,34.43083537956959,20,38.16011493840285,126,0.9022728426040388,0.8772601190023098,39.248148449660604
22.0,25.0,3,32.02893188265771,37,38.011732210033365,205,0.8426064801699179,0.8772601190023098,36.510188014797215
22.0,25.0,4,28.916035754279488,41,36.12916935313096,205,0.8003515240455872,0.8772601190023098,32.961758009887774
22.0,25.0,5,32.8328550988876,17,33.49111108176479,203,0.9803453524945728,0.8772601190023098,37.4265903438398
22.0,25.0,6,24.855406627621118,14,31.075153683111566,137,0.7998482286228983,0.8772601190023098,28.332995070935937
22.0,25.0,7,18.4099604278381,9,26.46906258788815,57,0.695527481062447,0.8772601190023098,20.985748729550565
23.0,26.0,1,37.00614978583069,9,40.44158681028264,56,0.9150518736920961,0.8782736273956034,42.13510303795322
23.0,26.0,2,36.61010081279074,20,39.321193899167405,134,0.9310526253773269,0.8782736273956034,41.68416273793036
23.0,26.0,3,33.712536410371854,38,39.78475834877895,203,0.8473731602144201,0.8782736273956034,38.3850036694619
23.0,26.0,4,29.496955163961935,43,36.91929424807072,208,0.7989577202035315,0.8782736273956034,33.58515415227826
23.0,26.0,5,33.24389149246522,16,34.7750145592234,202,0.9559705988289203,0.8782736273956034,37.85140582103699
23.0,26.0,6,24.14984902905161,16,31.97254190870305,130,0.7553309054378916,0.8782736273956034,27.49695342744673
