ballsremaining,mean_hundred,mean_t20,ratio_hundred_vs_t20,ratio_pred,adj_runs_to_come
58,77.8993288590604,78.95141482689057,0.9863835806679518,0.9831984783519345,79.23052219287146
59,78.64,79.97260773445066,0.9825260909666553,0.9836676522810498,79.94570098715748
60,80.01960784313725,81.3618826430193,0.982816078389585,0.9841338045492958,81.30968316832066
61,80.88,81.8006662006952,0.9879593166801353,0.9845969351566726,82.14528921637368
62,82.09150326797386,83.18147038302148,0.9856027150217469,0.9850570441031803,83.33680141611693
63,82.92307692307692,84.15682422220725,0.9846603478556446,0.9855141313888187,84.14194609895549
64,83.9423076923077,85.5746394684913,0.9808430019951754,0.985968197013588,85.13693235396603
65,84.55128205128206,86.67746397540911,0.975030880713547,0.986419240977488,85.71536172337466
66,86.7483870967742,87.86242475727731,0.9872307880656869,0.9868672632805189,87.90279131198194
67,88.6038961038961,89.18905022622582,0.9936559020042057,0.9873122639226806,89.74252558341051
68,88.59477124183006,89.9491436949014,0.9853738360702597,0.9877542429039732,89.69313154389863
69,90.6986301369863,91.7412425266226,0.9883768408603998,0.9881932002243965,91.78228520130544
70,91.50340136054422,92.815388256451,0.9852931572694534,0.9886291358839506,92.55584125459687
71,92.41721854304636,93.90356599102358,0.9840347035700062,0.9890620498826356,93.43925242507567
72,93.9054054054054,95.26354650293474,0.9861550317626017,0.9894919422204513,94.90264791310851
73,94.8108108108108,96.09174390049715,0.9864104382821977,0.9899188128973979,95.77635011633794
74,96.5364238410596,97.47832632053957,0.9897831204290699,0.9903426619134753,97.47779991072811
75,97.64238410596026,98.65855453783534,0.9890428045311997,0.9907634892686834,98.55266687111518
76,98.98026315789474,99.6214763346731,0.9927541365186338,0.9911812949630224,99.8609070418216
77,100.28104575163398,100.95000822345446,0.992273652627566,0.9915960789964923,101.13094220090066
78,100.76282051282051,101.62913671810179,0.9902561044980587,0.9920078413690929,101.5746209967004
79,102.4267515923567,103.35555478746294,0.9900176131455085,0.9924165820808244,103.2094318472551
80,105.1523178807947,104.69642740991588,1.0040059101252128,0.9928223011316866,105.91252609951944
81,106.15822784810126,106.03002305559683,1.0007313083065184,0.9932249985216797,106.8823559677894
82,107.1038961038961,107.0979311388952,0.9996569806746564,0.9936246742508036,107.79109947591913
83,109.43396226415095,107.95725804283263,1.012920637592928,0.9940213283190582,110.0921671864018
84,110.17687074829932,109.5948600311549,1.0041986338183626,0.9944149607264438,110.79566891050442
85,111.00649350649351,111.10123829876048,0.9982566403954238,0.9948055714729601,111.58611962951878
86,112.97435897435898,112.2863552151038,1.0054794965216964,0.9951931605586072,113.52003153935048
87,114.38157894736842,113.47144062127863,1.007538217651457,0.9955777279833852,114.88965224147451
88,115.18666666666667,114.69990251683116,1.0035040289916863,0.9959592737472939,115.65399279156985
89,116.58974358974359,115.48146823715004,1.0084770270131689,0.9963377978503335,117.01828821639998
90,118.15584415584415,117.21625024008968,1.0071260637255894,0.9967133002925038,118.54546750923174
91,117.8695652173913,118.62595424938313,0.9931300149754523,0.997085781073805,118.21406688846014
92,119.13548387096775,119.71618841080188,0.9949250854648274,0.997455240194237,119.43942852790887
93,121.1474358974359,121.05969584585546,1.0004339593592055,0.9978216776537998,121.41191017446378
94,121.45161290322581,122.23251045810879,0.9935965194554448,0.9981850934524934,121.67243700579871
95,123.28048780487805,123.33009559669546,0.9992374946993863,0.9985454875903179,123.46006199715303
96,123.71069182389937,124.22519163730425,0.9958625886331113,0.9989028600672731,123.84656884010505
97,124.40645161290323,125.33675421273888,0.9926286261760165,0.9992572108833592,124.49892806170091
98,125.82165605095541,127.07422234008989,0.9904128329521867,0.999608540038576,125.87092948015412
99,126.36075949367088,128.0895784192775,0.9866533947610884,0.9999568475329237,126.36621250749567
100,127.84756097560975,129.63635953987625,0.986263189960553,1.0003021333664022,127.80894562861067
