ballsremaining,wickets,wkt_value_sum_smooth
79,3,21.017007551490103
78,3,20.625473085574768
77,3,20.2384730156196
76,3,19.855829710210912
75,3,19.477364140402337
74,3,19.102896433848716
73,3,18.732246428940435
72,3,18.365234228937247
71,3,18.001680756102502
70,3,17.64140830583723
69,3,17.28424110081408
68,3,16.930005845111488
67,3,16.57853227834778
66,3,16.229653729815148
65,3,15.883207672613793
64,3,15.53903627778599
63,3,15.196986968450148
62,3,14.856912973934826
61,3,14.51867388391294
60,3,14.182136202535707
59,3,13.847173902566787
58,3,13.513668979516318
57,3,13.181512005775026
56,3,12.850602684748274
55,3,12.520850404990142
54,3,12.192174794337458
53,3,11.864506274043968
52,3,11.537786612914305
51,3,11.21196948143812
50,3,10.88702100592414
49,3,10.562920322634238
48,3,10.23966013191751
47,3,9.91724725234434
46,3,9.595703174840471
45,3,9.275064616821105
44,3,8.955384076324933
43,3,8.636730386148237
42,3,8.319189267978956
41,3,8.00286388653075
40,3,7.68787540367709
39,3,7.374363532585306
38,3,7.062487091850692
37,3,6.752424559630519
36,3,6.444374627778199
35,3,6.138556755977275
34,3,5.835211725875528
33,3,5.534602195219058
32,3,5.23701325198633
31,3,4.942752968522267
30,3,4.652152955672317
29,3,4.365568916916526
28,3,4.08338120250361
27,3,3.805995363585021
26,3,3.5338427063490325
25,3,3.267380846154797
24,3,3.0070942616664293
23,3,2.7534948489870743
22,3,2.507122475792994
21,3,2.2685455354676005
20,3,2.038361501235581
19,3,1.8171974802969264
18,3,1.6057107679610338
17,3,1.404589401780755
16,3,1.2145527156864908
15,3,1.036351894120246
14,3,0.8707705261697082
13,3,0.7186251597023299
12,3,0.5807658554993846
11,3,0.4580767413900464
10,3,0.3514765663854637
9,3,0.2619192548128363
8,3,0.190394460449474
7,3,0.1379281206568818
6,3,0.1055830105148283
5,3,0.0944592969554145
4,3,0.1056950928971529
3,3,0.1404670113790338
2,3,0.1999907196946018
1,3,0.2855214935260277
104,4,36.075046342315005
103,4,35.39421344498281
102,4,34.728028935945886
101,4,34.07629017477187
100,4,33.43878197677222
99,4,32.81527716713656
98,4,32.20553713506658
97,4,31.609312387910293
96,4,31.026343105295883
95,4,30.456359693265966
94,4,29.899083338411643
93,4,29.354226562006385
92,4,28.82149377414044
91,4,28.3005818278545
90,4,27.791180573274104
89,4,27.292973411743613
88,4,26.80563784996015
87,4,26.328846054107885
86,4,25.86226540399194
85,4,25.4055590471726
84,4,24.95838645309917
83,4,24.52040396724439
82,4,24.091265365238115
81,4,23.670622407001677
80,4,23.25812539088186
79,4,22.853423707784856
78,4,22.45616639531072
77,4,22.06600269188684
76,4,21.6825825909026
75,4,21.30555739484309
74,4,20.93458026942324
73,4,20.56930679772209
72,4,20.20939553431657
71,4,19.85450855941572
70,4,19.50431203299488
69,4,19.158476748929488
68,4,18.816678689129372
67,4,18.47859957767281
66,4,18.143927434940373
65,4,17.81235713174945
64,4,17.483590943487634
63,4,17.15733910424761
62,4,16.833320360960627
61,4,16.511262527530704
60,4,16.190903038968898
59,4,15.871989505527182
58,4,15.554280266832484
57,4,15.237544946020998
56,4,14.921565003872018
55,4,14.606134292942125
54,4,14.291059611699232
53,4,13.97616125865664
52,4,13.661273586507177
51,4,13.34624555625718
50,4,13.030941291360604
49,4,12.715240631853142
48,4,12.399039688486214
47,4,12.08225139686114
46,4,11.764806071563063
45,4,11.446651960295194
44,4,11.127755798012764
43,4,10.808103361057151
42,4,10.487700021289918
41,4,10.166571300226934
40,4,9.844763423172395
39,4,9.52234387335291
38,4,9.1994019460516
37,4,8.876049302742118
36,4,8.552420525222843
35,4,8.228673669750759
34,4,7.904990821175684
33,4,7.581578647074313
32,4,7.258668951884212
31,4,6.936519231037991
30,4,6.615413225097324
29,4,6.295661473887023
28,4,5.9776018706291225
27,4,5.661600216076955
26,4,5.348050772649199
25,4,5.037376818563985
24,4,4.730031201972935
23,4,4.426496895095271
22,4,4.127287548351841
21,4,3.832948044499252
20,4,3.544055052763886
19,4,3.261217582975993
18,4,2.9850775397037825
17,4,2.716310276387457
16,4,2.455625149473331
15,4,2.2037660725478574
14,4,1.9615120704717333
13,4,1.729677833513958
12,4,1.5091142714859007
11,4,1.3007090678753928
10,4,1.1053872339807818
9,4,0.9241116630450108
8,4,0.7578836843896832
7,4,0.6077436175491528
6,4,0.4747713264045798
5,4,0.3600867733180068
4,4,0.2648505732664379
3,4,0.1902645479758992
2,4,0.1375722800555268
1,4,0.1080596671316254
92,5,32.38251559351107
91,5,31.694821973924604
90,5,31.02762407332611
89,5,30.38033993061177
88,5,29.752384396658982
87,5,29.1431696884608
86,5,28.552105943259647
85,5,27.978601772681845
84,5,27.422064816871128
83,5,26.88190229862326
82,5,26.357521577519776
81,5,25.848330704061997
80,5,25.35373897380552
79,5,24.87315748149381
78,5,24.405999675192543
77,5,23.95168191042356
76,5,23.509624004299027
75,5,23.07924978965552
74,5,22.659987669187984
73,5,22.25127116958396
72,5,21.852539495657386
71,5,21.46323808448304
70,5,21.08281915953032
69,5,20.710742284797504
68,5,20.346474918945617
67,5,19.98949296943269
66,5,19.63928134664785
65,5,19.295334518045134
64,5,18.95715706227793
63,5,18.624264223332677
62,5,18.29618246466329
61,5,17.97245002332484
60,5,17.652617464108147
59,5,17.33624823367326
58,5,17.02291921468398
57,5,16.712221279941744
56,5,16.40375984651972
55,5,16.097155429896915
54,5,15.79204419809214
53,5,15.488078525798258
52,5,15.184927548516088
51,5,14.882277716688591
50,5,14.579833349834884
49,5,14.277317190684345
48,5,13.974470959310665
47,5,13.67105590726591
46,5,13.36685337171457
45,5,13.06166532956776
44,5,12.755314951617194
43,5,12.447647156669165
42,5,12.138529165678833
41,5,11.82785105588411
40,5,11.515526314939848
39,5,11.201492395051815
38,5,10.8857112671109
37,5,10.56816997482705
36,5,10.248881188863416
35,5,9.92788376097038
34,5,9.605243278119715
33,5,9.28105261663856
32,5,8.955432496343533
31,5,8.628532034674812
30,5,8.300529300830163
29,5,7.971631869899106
28,5,7.642077376996873
27,5,7.3121340713985745
26,5,6.982101370673199
25,5,6.652310414817748
24,5,6.323124620391265
23,5,5.994940234648915
22,5,5.668186889676093
21,5,5.343328156522428
20,5,5.020862099335936
19,5,4.701321829497019
18,5,4.385276059752581
17,5,4.073329658350101
16,5,3.766124203171689
15,5,3.4643385358681518
14,5,3.16868931599308
13,5,2.8799315751369314
12,5,2.5988592710610856
11,5,2.326305841831907
10,5,2.063144759954844
9,5,1.8102900865084808
8,5,1.568697025278622
7,5,1.3393624768923722
6,5,1.1233255929521668
5,5,0.9216683301698988
4,5,0.735516004500953
3,5,0.5660378452783066
2,5,0.4144475493465771
1,5,0.2820038351961029
79,6,28.19763346650487
78,6,27.54942367563754
77,6,26.923833486782144
76,6,26.319994739693584
75,6,25.73704599647988
74,6,25.174133095735726
